,stock_name,ticker
14,Atalaya Mining Ord J,TSE:AYM
15,ATCO Ltd. Cl I NV,TSE:ACO.X
16,ATCO Ltd. Cl II,TSE:ACO.Y
17,Athabasca Oil Corp J,TSE:ATH
18,,
1,Atlantic Power,TSE:ATP
2,Atlantic Pwr 6% Db D,TSE:ATP.DB.D
3,Atlantic Pwr5.75USDb,TSE:ATP.DB.U
4,Atlantic Pwr Eq Pr 1,TSE:AZP.PR.A
5,Atlantic Pwr Eq Pr 2,TSE:AZP.PR.B
6,Atlantic Pwr Eq Pr 3,TSE:AZP.PR.C
7,Atlatsa Res Corp. J,TSE:ATL
8,Atrium Mtg Invest,TSE:AI
9,Atrium Mtg Inv5.25Db,TSE:AI.DB
10,Atrium Mtg Inv6.25Db,TSE:AI.DB.A
11,Atrium Mtg Inv 5.5Db,TSE:AI.DB.B
12,ATS Automation Tool,TSE:ATA
13,Aura Minerals Inc. J,TSE:ORA
14,Aureus Mining Inc. J,TSE:AUE
15,AuRico Metals Inc. J,TSE:AMI
16,Aurinia Pharma Inc J,TSE:AUP
17,Auryn Resources Inc.,TSE:AUG
18,,
1,Australia BncIncm Un,TSE:AUI.UN
2,Australian REIT A Un,TSE:HRR.UN
3,AutoCanada Inc.,TSE:ACQ
4,Automotive Ppty Un,TSE:APR.UN
5,Avalon Advncd Mtrl J,TSE:AVL
6,Avcorp Industries,TSE:AVP
7,Avigilon Corporation,TSE:AVO
8,Avnel Gold Mining J,TSE:AVK
9,Azarga Uranium A J,TSE:AZZ
10,,
1,B2Gold Corp. J,TSE:BTO
2,Badger Daylighting,TSE:BAD
3,Ballard Power Sys,TSE:BLD
4,Balmoral Resources J,TSE:BAR
5,Bank of Montreal,TSE:BMO
6,Bk of Mon Pr Ser 26,TSE:BMO.PR.A
7,Bk of Mon Pr Ser 38,TSE:BMO.PR.B
8,Bk of Mon Pr Ser 14,TSE:BMO.PR.K
9,Bk of Mon Pr Ser 15,TSE:BMO.PR.L
10,Bk of Mon Pr Ser 16,TSE:BMO.PR.M
11,Bk of Mon Pr Ser 25,TSE:BMO.PR.Q
12,Bk of Mon Pr Ser 17,TSE:BMO.PR.R
13,Bk of Mon Pr Ser 27,TSE:BMO.PR.S
14,Bk of Mon Pr Ser 29,TSE:BMO.PR.T
15,Bk of Mon Pr Ser 31,TSE:BMO.PR.W
16,Bk of Mon Pr Ser 33,TSE:BMO.PR.Y
17,Bk of Mon Pr Ser 35,TSE:BMO.PR.Z
18,Bank of Nova Scotia,TSE:BNS
19,Bank of N S Sr 19 Pr,TSE:BNS.PR.A
20,Bank of N S Sr 21 Pr,TSE:BNS.PR.B
21,Bank of N S Sr 23 Pr,TSE:BNS.PR.C
22,Bank of N S Sr 31 Pr,TSE:BNS.PR.D
23,Bank of N S Sr 34 Pr,TSE:BNS.PR.E
24,Bank of N S Sr 33 Pr,TSE:BNS.PR.F
25,Bank of N S Sr 36 Pr,TSE:BNS.PR.G
26,Bank of N S Sr 38 Pr,TSE:BNS.PR.H
27,Bank of N S Sr 16 Pr,TSE:BNS.PR.N
28,Bank of N S Sr 17 Pr,TSE:BNS.PR.O
29,Bank of N S Sr 18 Pr,TSE:BNS.PR.P
30,Bank of N S Sr 20 Pr,TSE:BNS.PR.Q
31,Bank of N S Sr 22 Pr,TSE:BNS.PR.R
32,Bank of N S Sr 30 Pr,TSE:BNS.PR.Y
33,Bank of N S Sr 32 Pr,TSE:BNS.PR.Z
34,Banro Corporation J,TSE:BAA
35,Barclays Bank NtI-28,TSE:BXS.DB.C
36,Barrick Gold Corp,TSE:ABX
37,Baylin Tech Inc. J,TSE:BYL
38,,
1,BMO Sh-Trm US CrpBnd,TSE:ZSU
2,BMO Ultra ShrtBnd Un,TSE:ZST
3,BMO USDiv ETF CAD Un,TSE:ZDY
4,BMO USDiv ETF USD Un,TSE:ZDY.U
5,BMO USDiv Hdg-Cad Un,TSE:ZUD
6,BMO US HighDivCov Un,TSE:ZWH
7,BMO US HighDivCov US,TSE:ZWH.U
8,BMO US Put Write CAD,TSE:ZPW
9,BMO US Put Write USD,TSE:ZPW.U
10,BMTC Group Inc.,TSE:GBT
11,BNK Petroleum Inc. J,TSE:BKX
12,BNS Split Corp. II A,TSE:BSC
13,BNS Split II Pr 2,TSE:BSC.PR.C
14,Boardwalk REIT Un,TSE:BEI.UN
15,,
1,Bombardier Cl A MV,TSE:BBD.A
2,Bombardier Cl B SV,TSE:BBD.B
3,Bombardier Ser 2 Pr,TSE:BBD.PR.B
4,Bombardier 6.25% Pr,TSE:BBD.PR.C
5,Bombardier Ser 3 Pr,TSE:BBD.PR.D
6,Bonavista Energy,TSE:BNP
7,Bonterra Energy Corp,TSE:BNE
8,Boralex Inc. Cl A,TSE:BLX
9,Boralex Inc 4.5% Deb,TSE:BLX.DB.A
10,Boston Pizza Fnd Un,TSE:BPF.UN
11,Boyd Grp Fnd 5.25 DB,TSE:BYD.DB.A
12,Boyd Group Fnd Tr Un,TSE:BYD.UN
13,Boyuan Constr J,TSE:BOY
14,Boyuan Constr Deb J,TSE:BOY.DB.A
15,Brampton Brick A SV,TSE:BBL.A
16,Brand Leaders Fnd Un,TSE:HBL.UN
17,Brand Lead+Incm A Un,TSE:HBF
18,Brand Lead+IncmUS Un,TSE:HBF.U
19,,
1,Bri-Chem Corp.,TSE:BRY
2,Brick Brewing J,TSE:BRB
3,Brompton Life Splt A,TSE:LCS
4,Brompton LifeSplt Pr,TSE:LCS.PR.A
5,Brompton Oil Splt A,TSE:OSP
6,Brompton Oil Splt Pr,TSE:OSP.PR.A
7,Brompton Splt Banc A,TSE:SBC
8,Brompton Splt Bnc Pr,TSE:SBC.PR.A
9,Brookfld Asset A LV,TSE:BAM.A
10,Brookfld Asset Pr 32,TSE:BAM.PF.A
11,Brookfld Asset Pr 34,TSE:BAM.PF.B
12,Brookfld Asset Pr 36,TSE:BAM.PF.C
13,Brookfld Asset Pr 37,TSE:BAM.PF.D
14,Brookfld Asset Pr 38,TSE:BAM.PF.E
15,Brookfld Asset Pr 40,TSE:BAM.PF.F
16,Brookfld Asset Pr 42,TSE:BAM.PF.G
17,Brookfld Asset Pr 44,TSE:BAM.PF.H
18,Brookfld Asset Pr 2,TSE:BAM.PR.B
19,Brookfld Asset Pr 4,TSE:BAM.PR.C
20,Brookfld Asset Pr 8,TSE:BAM.PR.E
21,Brookfld Asset Pr 9,TSE:BAM.PR.G
22,Brookfld Asset Pr 13,TSE:BAM.PR.K
23,Brookfld Asset Pr 17,TSE:BAM.PR.M
24,Brookfld Asset Pr 18,TSE:BAM.PR.N
25,Brookfld Asset Pr 24,TSE:BAM.PR.R
26,Brookfld Asset Pr 25,TSE:BAM.PR.S
27,Brookfld Asset Pr 26,TSE:BAM.PR.T
28,Brookfld Asset Pr 28,TSE:BAM.PR.X
29,Brookfld Asset Pr 30,TSE:BAM.PR.Z
30,Brookfield Bus LP Un,TSE:BBU.UN
31,Brookfld Cda Office,TSE:BOX.UN
32,Brkfld GlbInfras Sec,TSE:BGI.UN
33,Brookfield HiYldStgy,TSE:BHY.UN
34,,
1,Brookfield InfrasPr1,TSE:BIP.PR.A
2,Brookfield InfrasPr3,TSE:BIP.PR.B
3,Brookfield InfrasPr5,TSE:BIP.PR.C
4,Brookfield Infras Un,TSE:BIP.UN
5,Brookfld Office PrAA,TSE:BPO.PR.A
6,Brookfld Office PrCC,TSE:BPO.PR.C
7,Brookfld Office Pr J,TSE:BPO.PR.J
8,Brookfld Office Pr K,TSE:BPO.PR.K
9,Brookfld Office Pr N,TSE:BPO.PR.N
10,Brookfld Office Pr P,TSE:BPO.PR.P
11,Brookfld Office Pr R,TSE:BPO.PR.R
12,Brookfld Office Pr S,TSE:BPO.PR.S
13,Brookfld Office Pr T,TSE:BPO.PR.T
14,Brookfld Off US Pr G,TSE:BPO.PR.U
15,Brookfld Office Pr W,TSE:BPO.PR.W
16,Brookfld Office Pr V,TSE:BPO.PR.X
17,Brookfld Office Pr Y,TSE:BPO.PR.Y
18,Brookfld Ppty LP Un,TSE:BPY.UN
19,Brookfld Ppty Pr 2,TSE:BPS.PR.A
20,Brookfld Ppty Pr 3,TSE:BPS.PR.B
21,Brookfld Ppty Pr 4,TSE:BPS.PR.C
22,Brookfld Pty Pr 1 US,TSE:BPS.PR.U
23,Brookfield Rl Est RV,TSE:BRE
24,Brookfield Renew Pr5,TSE:BEP.PR.E
25,Brookfield Renew Pr7,TSE:BEP.PR.G
26,Brookfield Renew Pr9,TSE:BEP.PR.I
27,Brookfield Renew Un,TSE:BEP.UN
28,Brookfld Renew Pr 1,TSE:BRF.PR.A
29,Brookfld Renew Pr 2,TSE:BRF.PR.B
30,Brookfld Renew Pr 3,TSE:BRF.PR.C
31,Brookfld Renew Pr 5,TSE:BRF.PR.E
32,Brookfld Renew Pr 6,TSE:BRF.PR.F
33,Brookfld Selct Oppor,TSE:BSO.UN
34,Brookfld Snd Eqty Un,TSE:BSE.UN
35,Brookfield Sndvst Pr,TSE:BSD.PR.A
36,Brookfld Sndvest Cap,TSE:BSD.UN
37,,
1,BRP Inc. SV,TSE:DOO
2,BSM Tech Inc. J,TSE:GPS
3,BTB REIT 6.9% E Deb,TSE:BTB.DB.E
4,BTB REIT 7.15% F Deb,TSE:BTB.DB.F
5,BTB REIT Un,TSE:BTB.UN
6,Buhler Industries,TSE:BUI
7,Burcon NutraSci J,TSE:BU
8,,
1,Baytex Energy Corp.,TSE:BTE
2,BCE Inc.,TSE:BCE
3,BCE Inc. Pr Ser AA,TSE:BCE.PR.A
4,BCE Inc. Pr Ser AB,TSE:BCE.PR.B
5,BCE Inc. Pr Ser AC,TSE:BCE.PR.C
6,BCE Inc. Pr Ser AD,TSE:BCE.PR.D
7,BCE Inc. Pr Ser AE,TSE:BCE.PR.E
8,BCE Inc. Pr Ser AF,TSE:BCE.PR.F
9,BCE Inc. Pr Ser AG,TSE:BCE.PR.G
10,BCE Inc. Pr Ser AH,TSE:BCE.PR.H
11,BCE Inc. Pr Ser AI,TSE:BCE.PR.I
12,BCE Inc. Pr Ser AJ,TSE:BCE.PR.J
13,BCE Inc. Pr Ser AK,TSE:BCE.PR.K
14,BCE Inc. Pr Ser AM,TSE:BCE.PR.M
15,BCE Inc. Pr Ser AN,TSE:BCE.PR.N
16,BCE Inc. Pr Ser AO,TSE:BCE.PR.O
17,BCE Inc. Pr Ser AQ,TSE:BCE.PR.Q
18,BCE Inc. Pr Ser R,TSE:BCE.PR.R
19,BCE Inc. Pr Ser S,TSE:BCE.PR.S
20,BCE Inc. Pr Ser T,TSE:BCE.PR.T
21,BCE Inc. Pr Series Y,TSE:BCE.PR.Y
22,BCE Inc. Pr Series Z,TSE:BCE.PR.Z
23,Becker Milk Cl B NV,TSE:BEK.B
24,Bellatrix Expl Ltd.,TSE:BXE
25,Bellatrix Expl Deb,TSE:BXE.DB
26,BELLUS Health Inc.,TSE:BLU
27,Belo Sun Mining J,TSE:BSX
28,Bengal Energy Ltd. J,TSE:BNG
29,Big 8 Split Cl D Cap,TSE:BIG.D
30,Big 8 Split Inc Pr D,TSE:BIG.PR.D
31,Big Bank Big Oil Cap,TSE:BBO
32,Big Bank Big Oil Pr,TSE:BBO.PR.A
33,Big Rock Brewery Inc,TSE:BR
34,,
1,BIOX Corporation J,TSE:BX
2,Birchcliff Energy,TSE:BIR
3,Birchcliff Engy Pr A,TSE:BIR.PR.A
4,Birchcliff Engy Pr C,TSE:BIR.PR.C
5,Bird Construction,TSE:BDT
6,Black Diamond Group,TSE:BDI
7,Black Iron Inc. J,TSE:BKI
8,BlackBerry Limited,TSE:BB
9,BlackPearl Res Inc J,TSE:PXX
10,Bloom Select Incm Un,TSE:BLB.UN
11,Bloom US Incm&Gro Un,TSE:BUA.UN
12,Blue Ribbon Incm Un,TSE:RBN.UN
13,,
1,BMO AggregateBnd ETF,TSE:ZAG
2,BMO Cdn Dividend Un,TSE:ZDV
3,BMO China Eq Idx ETF,TSE:ZCH
4,BMO Coverd CallCdnBk,TSE:ZWB
5,BMO DJ IndustAvg Un,TSE:ZWA
6,BMO CoverdUtility Un,TSE:ZWU
7,BMO Discount Bnd Un,TSE:ZDB
8,BMO DJ IndAv Heg ETF,TSE:ZDJ
9,BMO Em Mkt Bond HED,TSE:ZEF
10,BMO Eql Wgt REITs Un,TSE:ZRE
11,,
1,BMO Eq Wgt US Banks,TSE:ZUB
2,BMO EqlWght US BkCAD,TSE:ZBK
3,BMO EqWgt US Health,TSE:ZUH
4,BMO Eql Wgt Util ETF,TSE:ZUT
5,BMO Eq LnkCorpBnd Un,TSE:ZEL
6,BMO EU DivCovCal C-H,TSE:ZWE
7,BMO Fltg RtHi Yld Un,TSE:ZFH
8,BMO Gbl Infrastr ETF,TSE:ZGI
9,BMO HY US CrpHdg ETF,TSE:ZHY
10,BMO India Eq Idx ETF,TSE:ZID
11,,
1,BMO Int'l Div CAD Un,TSE:ZDI
2,BMO Intl DivHg-CA Un,TSE:ZDH
3,BMO Junior Gas ETF,TSE:ZJN
4,BMO Junior Gold ETF,TSE:ZJG
5,BMO Junior Oil ETF,TSE:ZJO
6,BMO Laddered Pr Indx,TSE:ZPR
7,BMO Long Crp Bnd ETF,TSE:ZLC
8,BMO Lng Federal Bond,TSE:ZFL
9,BMO LngProvBndCad Un,TSE:ZPL
10,BMO Volatlty Cad Un,TSE:ZLB
11,,
1,BMO LwVoltyEqCAD Un,TSE:ZLE
2,BMO LowVolIntl Eq Un,TSE:ZLI
3,BMO LwVol IntlEq H-C,TSE:ZLD
4,BMO LwVltyUSEq CADUn,TSE:ZLU
5,BMO LwVltyUSEq US Un,TSE:ZLU.U
6,BMO LowVol US Eq H-C,TSE:ZLH
7,BMO Mid Crp Bond ETF,TSE:ZCM
8,BMO Mid Fed Bnd Indx,TSE:ZFM
9,BMO MidProvBnd CadUn,TSE:ZMP
10,BMO MidUS IG HegBnd,TSE:ZMU
11,BMO MidUSCrpBndCA Un,TSE:ZIC
12,BMO MidUS CrpBnd USF,TSE:ZIC.U
13,,
1,BMO Monthly Incm Un,TSE:ZMI
2,BMO MSCI AllCntryWrl,TSE:ZGQ
3,BMO MSCI EAFE HegCAD,TSE:ZDM
4,BMO MSCI EAFE Idx Un,TSE:ZEA
5,BMO MSCI EmrgMkts Un,TSE:ZEM
6,BMO MSCI EU HiQltyUn,TSE:ZEQ
7,BMO MSCI US HiQltyUn,TSE:ZUQ
8,BMO Nasdaq EqHed ETF,TSE:ZQQ
9,BMO Rl Return Bond,TSE:ZRR
10,BMO S&P 500 Hedg-CAD,TSE:ZUE
11,,
1,BMO S&P500 IdxCAD Un,TSE:ZSP
2,BMO S&P500 Idx US Un,TSE:ZSP.U
3,BMO S&P/TSX CompIndx,TSE:ZCN
4,BMO Eql Wgt Bank ETF,TSE:ZEB
5,BMO EW GblMtl Hd ETF,TSE:ZMT
6,BMO S&P/TSX EqGld Un,TSE:ZGD
7,BMO S&P/TSX EqInd Un,TSE:ZIN
8,BMO EqWgt Oil&GasETF,TSE:ZEO
9,BMO Shrt Crp Bnd ETF,TSE:ZCS
10,BMO Shrt Fed Bnd ETF,TSE:ZFS
11,BMO Shrt Prv Bnd ETF,TSE:ZPS
12,,
1,CAE Inc.,TSE:CAE
2,Caldwell Partners,TSE:CWL
3,Caldwell US Div Un,TSE:UDA.UN
4,Caledonia Mining Plc,TSE:CAL
5,Calfrac Well Serv,TSE:CFW
6,Calian Group Ltd.,TSE:CGY
7,Callidus Cap Corp,TSE:CBL
8,Cameco Corporation,TSE:CCO
9,Canaccord Genuity,TSE:CF
10,Canaccord Gen A Pr,TSE:CF.PR.A
11,Canaccord Gen C Pr,TSE:CF.PR.C
12,Canacol Energy J,TSE:CNE
13,,
1,"Coeur Mining, Inc Wt",TSE:CDM.WT
2,Cogeco Commun Inc SV,TSE:CCA
3,Cogeco Inc. SV,TSE:CGO
4,Colabor Group Inc.,TSE:GCL
5,Colabor Grp 5.7% Deb,TSE:GCL.DB.A
6,Colliers International Group Inc.,TSE:CIGI
7,Columbus Gold Corp J,TSE:CGT
8,Cominar Real Est Un,TSE:CUF.UN
9,Commerce Split Cap,TSE:YCM
10,Commerce Split I Pr,TSE:YCM.PR.A
11,Commerce Split II Pr,TSE:YCM.PR.B
12,COMPASS Incm Fund Un,TSE:CMZ.UN
13,Computer Modelling J,TSE:CMG
14,,
1,Concordia Int'l J,TSE:CXR
2,Condor Petroleum J,TSE:CPI
3,Conifex Timber Inc.,TSE:CFF
4,Cons HCI Hldgs Cl B,TSE:CXA.B
5,Constellation Softwr,TSE:CSU
6,Constellation Deb 1,TSE:CSU.DB
7,Continental Gold J,TSE:CNL
8,Continental A Wt J,TSE:CNL.WT.A
9,Contl Precious Min J,TSE:CZQ
10,Copper Mountain J,TSE:CUM
11,Corby Spirit&Wine A,TSE:CSW.A
12,Corby Spirit&Wn B NV,TSE:CSW.B
13,Core Cdn Dividend Un,TSE:CDD.UN
14,,
1,Coro Mining Corp. J,TSE:COP
2,Corridor Resources,TSE:CDH
3,Corus Entertnmnt B,TSE:CJR.B
4,Corvus Gold Inc. J,TSE:KOR
5,Cott Corporation,TSE:BCB
6,CounterPath Corporation,TSE:PATH
7,CPI Card Group Inc.,TSE:PNT
8,Crescent Point Corp.,TSE:CPG
9,Crescita Therpeutc J,TSE:CTX
10,Crew Energy Inc.,TSE:CR
11,,
1,CRH Medical Corp. J,TSE:CRH
2,Critical Control J,TSE:CCZ
3,Crius Energy Tr Un,TSE:KWH.UN
4,Crombie REIT 5% Deb,TSE:CRR.DB.D
5,Crombie REIT 5.25 Db,TSE:CRR.DB.E
6,Crombie Real Est Un,TSE:CRR.UN
7,Crosswinds Hldgs J,TSE:CWI
8,Crown Cap Partners J,TSE:CRN
9,CT Rl Est Invest Un,TSE:CRT.UN
10,CU Inc. Pr Ser 1,TSE:CIU.PR.A
11,CU Inc. Pr Ser 4,TSE:CIU.PR.C
12,Currency Exch Intl J,TSE:CXI
13,Cymbria Corp Cl A NV,TSE:CYB
14,,
1,Cdn 50 Advan Pref Un,TSE:CPF.UN
2,Cdn Apartment Tr Un,TSE:CAR.UN
3,Cdn Banc Corp Cl 'A',TSE:BK
4,Cdn Banc Corp. Pr,TSE:BK.PR.A
5,Cdn Convert Plus Un,TSE:CCI.UN
6,Cdn Crude Oil Idx Un,TSE:CCX
7,Cdn Energy Serv&Tech,TSE:CEU
8,Canadian General Inv,TSE:CGI
9,Cdn General 3.75% Pr,TSE:CGI.PR.D
10,Cdn High Incm Eq Un,TSE:CIQ.UN
11,Cdn Imperial Bank,TSE:CM
12,Cdn Imp Bk Ser 39 Pr,TSE:CM.PR.O
13,Cdn Imp Bk Ser 41 Pr,TSE:CM.PR.P
14,Cdn Imp Bk Ser 43 Pr,TSE:CM.PR.Q
15,Cdn Life Co Split A,TSE:LFE
16,Cdn Life CoSplt Pr12,TSE:LFE.PR.B
17,,
1,Cdn Nat'l Railway,TSE:CNR
2,Cdn Natrl Gas Idx A,TSE:GAS
3,Canadian Natural Res,TSE:CNQ
4,Cdn Pacific Railway,TSE:CP
5,Cdn Preferred Shr Un,TSE:PFT.UN
6,Cdn Real Estate Un,TSE:REF.UN
7,Cdn Resources Tr Un,TSE:RTU.UN
8,Canadian Tire Corp,TSE:CTC
9,Canadian Tire A NV,TSE:CTC.A
10,Cdn Util & Tel FndUn,TSE:UTE.UN
11,Cdn Utilities A NV,TSE:CU
12,Cdn Util 2nd Pr Y,TSE:CU.PR.C
13,Cdn Util 2nd Pr AA,TSE:CU.PR.D
14,Cdn Util 2nd Pr BB,TSE:CU.PR.E
15,Cdn Util 2nd Pr CC,TSE:CU.PR.F
16,Cdn Util 2nd Pr DD,TSE:CU.PR.G
17,Cdn Util 2nd Pr EE,TSE:CU.PR.H
18,Cdn Util 2nd Pr FF,TSE:CU.PR.I
19,Cdn Utilities Cl B,TSE:CU.X
20,,
1,Cdn Wstrn Bank,TSE:CWB
2,Cdn Wstrn Bk Sr 5 Pr,TSE:CWB.PR.B
3,Cdn Wstrn Bk Sr 7 Pr,TSE:CWB.PR.C
4,Cdn World Fund Ltd,TSE:CWF
5,Cdn Zinc Corp. J,TSE:CZN
6,Canam Group Inc.,TSE:CAM
7,Canarc Resource J,TSE:CCM
8,Candente Copper J,TSE:DNT
9,Canexus Corp.,TSE:CUS
10,Canexus Corp. IV Deb,TSE:CUS.DB.B
11,Canexus Corp 6% V Db,TSE:CUS.DB.C
12,Canexus Corp VI Deb,TSE:CUS.DB.D
13,Canfor Corporation,TSE:CFP
14,Canfor Pulp Products,TSE:CFX
15,Canlan Ice Sports,TSE:ICE
16,,
1,Canoe EIT Income Un,TSE:EIT.UN
2,Canopy Grwth Corp J,TSE:CGC
3,Canso Credit A Un,TSE:PBY.UN
4,Canso Slct Oppor Un,TSE:SCW.UN
5,CanWel Building Grp,TSE:CWX
6,Canyon Services Grp,TSE:FRC
7,Capital Power Corp.,TSE:CPX
8,Capital Pwr Ser 1 Pr,TSE:CPX.PR.A
9,Capital Pwr Ser 3 Pr,TSE:CPX.PR.C
10,Capital Pwr Ser 5 Pr,TSE:CPX.PR.E
11,Capital Pwr Ser 7 Pr,TSE:CPX.PR.G
12,Capstone Infr Pr A,TSE:CSE.PR.A
13,Capstone Mining J,TSE:CS
14,Cara Operations Limited,TSE:CARA
15,,
1,Cardinal Energy J,TSE:CJ
2,Cardinal Engy Deb J,TSE:CJ.DB
3,Cardiome Pharma Corp,TSE:COM
4,Cargojet Inc.,TSE:CJT
5,Cargojet Inc. VV,TSE:CJT.A
6,Cargojet Inc 5.5% Db,TSE:CJT.DB.B
7,Cargojet Inc 4.65%Db,TSE:CJT.DB.C
8,Caribbean Ut Cl A US,TSE:CUP.U
9,Carmanah Tech Corp.,TSE:CMH
10,Cascades Inc.,TSE:CAS
11,Catalyst Paper Crp J,TSE:CYT
12,Cathedral Engy Serv,TSE:CET
13,CCL Industries Cl A,TSE:CCL.A
14,CCL Industries Cl B,TSE:CCL.B
15,Celestica Inc SV,TSE:CLS
16,,
1,Cenovus Energy Inc.,TSE:CVE
2,Centamin plc. Ord,TSE:CEE
3,Centerra Gold Inc.,TSE:CG
4,Central Fund Cl A NV,TSE:CEF.A
5,Central Fund A NV US,TSE:CEF.U
6,Centric Health J,TSE:CHH
7,Centric Health Notes,TSE:CHH.NT
8,Century Glbl Cmdty J,TSE:CNT
9,Cequence Energy Ltd.,TSE:CQE
10,Ceres Global Ag Corp,TSE:CRP
11,Cervus Equipment,TSE:CVL
12,Cervus Equipmnt 6%Db,TSE:CVL.DB
13,CGI Group Cl A SV,TSE:GIB.A
14,,
1,Chalice Gold Ord J,TSE:CXN
2,Champion Iron Ord J,TSE:CIA
3,Chartwell Retire Un,TSE:CSH.UN
